1,-78.6957916,35.7275513,0.534,"(0.014232064597308636,-1.4707783460617065,0.014557797461748123)","(0.0,0.04,0.02)",25.07,2024-07-02 11:33:52.312016,3,15
2,-78.6957922,35.727551,0.549,"(0.013954120688140392,-1.4711281061172485,0.014286387711763382)","(0.0,0.02,0.01)",25.069,2024-07-02 11:33:53.317389,3,15
3,-78.6957927,35.7275511,0.572,"(0.013516166247427464,-1.4716414213180542,0.014600847847759724)","(0.0,0.0,0.0)",25.07,2024-07-02 11:33:54.323188,3,14
4,-78.695793,35.7275513,0.592,"(0.013249036855995655,-1.4718421697616577,0.014581019058823586)","(0.01,0.0,0.0)",25.069,2024-07-02 11:33:55.333583,3,15
5,-78.6957932,35.7275514,0.605,"(0.013545478694140911,-1.471508264541626,0.014440113678574562)","(0.02,0.0,0.0)",25.069,2024-07-02 11:33:56.344497,3,16
6,-78.6957929,35.7275514,0.612,"(0.013856970705091953,-1.471472978591919,0.014144809916615486)","(0.0,0.01,0.0)",25.069,2024-07-02 11:33:57.351615,3,16
7,-78.695792,35.7275515,0.6,"(0.014329846017062664,-1.4713637828826904,0.014251532033085823)","(0.0,0.04,0.0)",25.068,2024-07-02 11:33:58.362360,3,16
8,-78.6957912,35.7275518,0.547,"(0.015185766853392124,-1.4712251424789429,0.014422336593270302)","(0.01,0.07,0.02)",25.071,2024-07-02 11:33:59.367420,3,16
9,-78.6957903,35.7275518,0.473,"(0.014989306218922138,-1.4715981483459473,0.013860136270523071)","(0.0,0.09,0.03)",25.069,2024-07-02 11:34:00.378552,3,16
10,-78.6957903,35.7275522,0.481,"(0.015317806042730808,-1.471329927444458,0.01436068955808878)","(0.01,0.06,0.03)",25.07,2024-07-02 11:34:01.388770,3,15
11,-78.6957898,35.7275521,0.479,"(0.01390777062624693,-1.4716651439666748,0.013974077068269253)","(0.0,0.05,0.03)",25.069,2024-07-02 11:34:02.399090,3,15
12,-78.6957895,35.7275521,0.494,"(0.012357563711702824,-1.4712982177734375,0.0137059036642313)","(0.0,0.03,0.02)",25.069,2024-07-02 11:34:03.409805,3,15
13,-78.6957891,35.7275522,0.504,"(0.01240724790841341,-1.4710655212402344,0.013655314221978188)","(0.0,0.01,0.01)",25.07,2024-07-02 11:34:04.420199,3,15
14,-78.6957877,35.7275523,0.521,"(0.013482206501066685,-1.471333384513855,0.013399947434663773)","(0.0,0.05,0.01)",25.069,2024-07-02 11:34:05.430465,3,15
15,-78.6957868,35.7275525,0.536,"(0.012944194488227367,-1.4712342023849487,0.013453604653477669)","(0.0,0.04,0.0)",25.069,2024-07-02 11:34:06.441526,3,15
16,-78.6957857,35.7275526,0.506,"(0.012954744510352612,-1.4715510606765747,0.013841098174452782)","(0.0,0.04,0.01)",25.07,2024-07-02 11:34:07.452595,3,15
17,-78.6957844,35.7275527,0.482,"(0.013034206815063953,-1.47222101688385,0.01376617792993784)","(0.0,0.06,0.02)",25.07,2024-07-02 11:34:08.462651,3,15
18,-78.6957835,35.7275527,0.489,"(0.012935030274093151,-1.4722257852554321,0.01363048329949379)","(0.0,0.05,0.01)",25.07,2024-07-02 11:34:09.473263,3,15
19,-78.6957827,35.7275526,0.48,"(0.012744228355586529,-1.4725722074508667,0.013629348948597908)","(0.0,0.04,0.01)",25.07,2024-07-02 11:34:10.484414,3,15
20,-78.6957819,35.7275526,0.456,"(0.012636522762477398,-1.4721827507019043,0.01351146586239338)","(0.0,0.04,0.02)",25.069,2024-07-02 11:34:11.494484,3,15
21,-78.695782,35.7275525,0.458,"(0.011733033694326878,-1.472529649734497,0.013424079865217209)","(0.0,0.01,0.02)",25.068,2024-07-02 11:34:12.505488,3,15
22,-78.6957821,35.7275525,0.495,"(0.01180515717715025,-1.4726999998092651,0.01339978352189064)","(-0.01,-0.01,0.0)",25.06,2024-07-02 11:34:13.516028,3,15
23,-78.6957815,35.7275525,0.533,"(0.011837012134492397,-1.4729835987091064,0.013288851827383041)","(0.0,0.0,0.0)",25.068,2024-07-02 11:34:14.526407,3,15
24,-78.6957804,35.7275523,0.515,"(0.012545554898679256,-1.4730831384658813,0.013396071270108223)","(-0.01,0.03,0.0)",25.068,2024-07-02 11:34:15.531533,3,16
